,date,ticker,open,high,low,close,volume,count,wap
59,2024-06-24 10:33:15,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
58,2024-06-24 10:33:20,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
57,2024-06-24 10:33:25,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
56,2024-06-24 10:33:30,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
55,2024-06-24 10:33:35,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
54,2024-06-24 10:33:40,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
53,2024-06-24 10:33:45,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
52,2024-06-24 10:33:50,EPAC,39.18,39.18,39.18,39.18,100,1,39.18
51,2024-06-24 10:33:55,EPAC,39.16,39.16,39.16,39.16,200,2,39.16
50,2024-06-24 10:34:00,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
49,2024-06-24 10:34:05,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
48,2024-06-24 10:34:10,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
47,2024-06-24 10:34:15,EPAC,39.15,39.15,39.15,39.15,600,3,39.15
46,2024-06-24 10:34:20,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
45,2024-06-24 10:34:25,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
44,2024-06-24 10:34:30,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
43,2024-06-24 10:34:35,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
42,2024-06-24 10:34:40,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
41,2024-06-24 10:34:45,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
40,2024-06-24 10:34:50,EPAC,39.15,39.15,39.15,39.15,300,1,39.15
39,2024-06-24 10:34:55,EPAC,39.15,39.19,39.15,39.19,1519,10,39.15263331138907
38,2024-06-24 10:35:00,EPAC,39.15,39.19,39.15,39.19,1145,7,39.15349344978166
37,2024-06-24 10:35:05,EPAC,39.15,39.19,39.15,39.19,900,5,39.15444444444444
36,2024-06-24 10:35:10,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
35,2024-06-24 10:35:15,EPAC,39.19,39.19,39.19,39.19,100,1,39.19
34,2024-06-24 10:35:20,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
33,2024-06-24 10:35:25,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
32,2024-06-24 10:35:30,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
31,2024-06-24 10:35:35,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
30,2024-06-24 10:35:40,EPAC,39.19,39.19,39.15,39.16,300,3,39.16666666666667
29,2024-06-24 10:35:45,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
28,2024-06-24 10:35:50,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
27,2024-06-24 10:35:55,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
26,2024-06-24 10:36:00,EPAC,39.15,39.15,39.15,39.15,0,0,39.15
25,2024-06-24 10:36:05,EPAC,39.16,39.16,39.16,39.16,100,1,39.16
24,2024-06-24 10:36:10,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
23,2024-06-24 10:36:15,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
22,2024-06-24 10:36:20,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
21,2024-06-24 10:36:25,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
20,2024-06-24 10:36:30,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
19,2024-06-24 10:36:35,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
18,2024-06-24 10:36:40,EPAC,39.16,39.16,39.16,39.16,0,0,39.160000000000004
17,2024-06-24 10:36:45,EPAC,39.19,39.19,39.19,39.19,100,1,39.19
16,2024-06-24 10:36:50,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
15,2024-06-24 10:36:55,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
14,2024-06-24 10:37:00,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
13,2024-06-24 10:37:05,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
12,2024-06-24 10:37:10,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
11,2024-06-24 10:37:15,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
10,2024-06-24 10:37:20,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
9,2024-06-24 10:37:25,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
8,2024-06-24 10:37:30,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
7,2024-06-24 10:37:35,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
6,2024-06-24 10:37:40,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
5,2024-06-24 10:37:45,EPAC,39.19,39.19,39.19,39.19,0,0,39.19
4,2024-06-24 10:37:50,EPAC,39.13,39.13,39.13,39.13,200,2,39.13
3,2024-06-24 10:37:55,EPAC,39.13,39.13,39.13,39.13,0,0,39.13
2,2024-06-24 10:38:00,EPAC,39.13,39.13,39.13,39.13,0,0,39.13
1,2024-06-24 10:38:05,EPAC,39.11,39.11,39.11,39.11,100,1,39.11
0,2024-06-24 10:38:10,EPAC,39.11,39.11,39.11,39.11,0,0,39.11
